ID,Intercept,umol.L.sec,Temp.C
Tpla7_16C,231.9196496,-0.010726928,16.29022642
Tpla7_20C,231.837025,-0.015173821,20.155
Tpla7_24C,224.4253983,-0.016412849,23.87456
Tpla7_26C,212.3737672,-0.021037176,26.41354902
Tpla7_28C,196.6725051,-0.022502053,28.36335185
Tpla7_30C,185.5516701,-0.026748005,30.0517451
Tpla7_32C,170.487143,-0.027637389,32.32434615
Tpla7_34C,163.9236106,-0.031595796,33.88539623
Tpla7_36C,147.4358842,-0.030485222,35.67536538
Tpla7_40C,134.1481718,-0.014902505,39.20159649
Tpla7_42C,123.6143191,-0.014574816,41.36762963
Tpla8_16C,244.155737,-0.008322986,16.23790566
Tpla8_20C,242.8252935,-0.010210205,20.02656863
Tpla8_24C,230.6296507,-0.022842787,22.87696
Tpla8_26C,219.4789256,-0.021104631,26.35121569
Tpla8_28C,207.4114112,-0.02568343,28.147
Tpla8_30C,192.7272576,-0.026755188,30.00958824
Tpla8_32C,180.731297,-0.027229648,32.05682692
Tpla8_34C,170.4955476,-0.035313103,33.83815094
Tpla8_36C,151.8931603,-0.031851498,35.70363462
Tpla8_40C,138.7141776,-0.018481691,39.24205263
Tpla8_42C,129.1017057,-0.017210049,41.32292453
Tpla9_16C,303.4314683,-0.007739632,16.21043396
Tpla9_20C,306.0293268,-0.008487437,20.08468627
Tpla9_24C,292.4989537,-0.01024641,23.37636
Tpla9_26C,280.7480793,-0.01308108,26.34005882
Tpla9_28C,267.6076531,-0.015539323,28.23948148
Tpla9_30C,247.9165927,-0.018446341,29.93766667
Tpla9_32C,232.9295171,-0.021735163,32.07048077
Tpla9_34C,217.6203574,-0.024970893,33.85081132
Tpla9_36C,205.6632689,-0.02375362,35.78661538
Tpla9_40C,179.4510572,-0.013629002,39.34453448
Tpla9_42C,164.5695991,-0.011444738,41.25318519
Vmel1_20C,228.9740695,-0.010663146,20.2689
Vmel1_24C,203.5827453,-0.021516311,24.20572414
Vmel1_26C,198.4157349,-0.012495027,25.70654098
Vmel1_28C,196.9057225,-0.013567238,27.6422069
Vmel1_30C,192.9783651,-0.015152229,29.15043243
Vmel1_32C,176.704667,-0.019518818,31.81623333
Vmel1_34C,171.1415799,-0.020048913,33.53527419
Vmel1_36C,162.3676364,-0.0209003,35.75027119
Vmel1_40C,136.0472181,-0.026304592,39.55573134
Vmel3_20C,229.9723462,-0.005847334,20.3104
Vmel3_24C,210.4647,-0.008305378,24.27158621
Vmel3_26C,207.1358711,-0.013047302,25.86627869
Vmel3_28C,198.041245,-0.010291397,27.82758621
Vmel3_30C,192.1323662,-0.012332702,29.38997297
Vmel3_32C,180.6737554,-0.013427633,32.13135
Vmel3_34C,172.0656734,-0.014670976,33.7163871
Vmel3_36C,161.2063766,-0.015015208,35.97613333
Vmel3_40C,139.8601838,-0.016670707,39.80334328
Vmel4_20C,207.219063,-0.005559199,20.23771667
Vmel4_24C,190.123935,-0.009003695,24.22331034
Vmel4_26C,185.554697,-0.009359789,25.76283607
Vmel4_28C,173.2708167,-0.009649164,27.74187931
Vmel4_30C,173.2460543,-0.011897178,29.21747297
Vmel4_32C,160.8400226,-0.011704811,31.86206667
Vmel4_34C,152.1534438,-0.012743484,33.51362903
Vmel4_36C,143.5256393,-0.01515662,35.75746667
Vmel4_40C,121.6154561,-0.01654192,39.66271642
Vmel5_20C,277.9879309,-0.014241307,20.24183333
Vmel5_24C,261.1567982,-0.019473937,24.19075862
Vmel5_26C,252.3690262,-0.020126046,25.83963934
Vmel5_28C,243.7815019,-0.017996577,27.68301724
Vmel5_30C,230.6034859,-0.02262458,29.22533784
Vmel5_32C,222.0331056,-0.023952332,31.91361667
Vmel5_34C,205.678758,-0.010624889,33.55251613
Vmel5_36C,198.2744543,-0.029050459,35.81635593
Vmel5_40C,170.7831574,-0.029226331,39.66068657
Vmel6_20C,270.0515584,-0.015026894,20.36103333
Vmel6_24C,243.133668,-0.014155217,24.315125
Vmel6_26C,238.7233016,-0.021523762,25.85816393
Vmel6_28C,226.6001374,-0.015093034,27.67356897
Vmel6_30C,224.5387683,-0.017357863,29.27771622
Vmel6_32C,208.8924149,-0.019969188,31.9624
Vmel6_34C,197.7420219,-0.019201387,33.58948387
Vmel6_36C,190.3973797,-0.020797261,35.88391525
Vmel6_40C,161.7939533,-0.017966152,39.74971642
Vmel7_20C,217.6747534,-0.008077997,20.28428333
Vmel7_24C,204.6322737,-0.008330268,24.29243103
Vmel7_26C,197.1880207,-0.00923802,25.74836066
Vmel7_28C,190.6014657,-0.010430611,27.78674138
Vmel7_30C,185.9649369,-0.012261808,29.28928378
